,key_0,id,imdb_id,original_title,poster_path,score
3870,13566,14164,tt1098327,Dragonball Evolution,/yERkcVylXAcTCi8f0qrba4rmWwg.jpg,3.3001669508814704
1517,3471,5491,tt0185183,Battlefield Earth,/neMUscYddxr4cP8wnRHRMLcWS0A.jpg,3.6295982159559497
3346,11557,9760,tt0799949,Epic Movie,/b4iOOIzR19TnqtUEetXBFxJ54YV.jpg,3.6766658452908154
3719,12911,13805,tt1213644,Disaster Movie,/6xBrOsf8RtHem3diXDGFsiKltYz.jpg,3.721966842292105
2923,9651,12142,tt0369226,Alone in the Dark,/3HsprIjUEwYfnlEf7jumGm037Bk.jpg,3.9066132485975738
2936,9710,10214,tt0362165,Son of the Mask,/x0vfTsgoSM96YCouqsOXgP6klX9.jpg,3.9866658683200438
5597,24413,218043,tt2467046,Left Behind,/lWf8po2lGleVuzRB4lpHavVT1Lv.jpg,4.029064836068994
2378,6723,11059,tt0317676,House of the Dead,/4Z1m6Q5n5GqZB3FcZqdZjPTl0vk.jpg,4.029218040643505
1708,3998,580,tt0093300,Jaws: The Revenge,/ssDizT0itTUaAdHoVrxRElo7Q1A.jpg,4.062113241556566
5104,21238,205321,tt2724064,Sharknado,/6nxewN7l5XGxDqCcGkLaXJ3ljdz.jpg,4.063415179577701
6519,39554,368596,tt3349772,Back in the Day,/is6QqgiPQlI3Wmk0bovqUFKM56B.jpg,4.091022299670273
3588,12358,7278,tt1073498,Meet the Spartans,/dymuQcYSGR2QchZbFTp7qZbN2V.jpg,4.129851751418094
3150,10809,10073,tt0466342,Date Movie,/rh4BHMaVZEIT8Btt77vDBd8x2p9.jpg,4.139065119351724
4572,18101,71880,tt0810913,Jack and Jill,/yI6tiyhRbeK6CbIHPrNYfEjJCeg.jpg,4.189291000914378
5838,28207,241251,tt3181822,The Boy Next Door,/h28t2JNNGrZx0fIuAw8aHQFhIxR.jpg,4.211552859893351
2097,5422,9544,tt0295254,FearDotCom,/jEnXPGPVMmwnjhMg9PZmNqGVXke.jpg,4.254749955537122
663,1491,415,tt0118688,Batman & Robin,/79AYCcxw3kSKbhGpx1LiqaCAbwo.jpg,4.276058202512087
710,1603,9823,tt0119707,Mortal Kombat: Annihilation,/rV6gISHgfmppOJ41UNFlAvNg9ZI.jpg,4.285644923911983
3256,11229,9708,tt0450345,The Wicker Man,/aeQ65vYvOCRmeO0uaVnjHOiDrXZ.jpg,4.3036452897962905
2685,7939,314,tt0327554,Catwoman,/3E1XPZ2lZmL4lJV1KSUi1jaSx3w.jpg,4.327096165727846
4353,16616,12536,tt0329200,Home Alone 4,/359bHILkiD6ZVCq6WoHSD0UuJQV.jpg,4.3389189770747
